Organization ID,Organization Name,address,State,Zip Code,summary
202,Alliance for Children & Families,624 SCRANTON AVE,OH,44601,PSH
202,Alliance for Children & Families,70 E COLUMBIA ST,OH,44601,ES
207,"Alpha House of Tampa, Inc.",201 S TAMPANIA AVE,FL,33609,RRH
207,"Alpha House of Tampa, Inc.",208 S TAMPANIA AVE,FL,33609,ES
210,Altamont Program,72 SYCAMORE ST,NY,14203,TH
213,American GI Forum,206 SAN PEDRO AVE,TX,78205,RRH
213,American GI Forum,519 MEDINA STREET,TX,78207,PSH
213,American GI Forum,519 N MEDINA,TX,78207,"PSH, TH"
213,American GI Forum,519 N MEDINA ST,TX,78207,TH
213,American GI Forum,611 N. FLORES,TX,78205,RRH
213,American GI Forum,611 S. FLORES,TX,78205,RRH
214,American Indian Services,1110 SOUTHFIELD RD,MI,48146,ES
223,Andre House,1203 W POLK ST,AZ,85007,TH
227,Anne Arundel County Mental Health Agency,1 TRUMAN PARKWAYSUITE 101,MD,21401,PSH
227,Anne Arundel County Mental Health Agency,2301 DORSEY RD STE 200,MD,21061,PSH
229,Valley Oasis,310 E. PALMDALE BLVD.,CA,93550,RRH
229,Valley Oasis,43434 E. SAHUAYO ST.,CA,93535,"ES, PSH, RRH, TH"
236,Arizona Housing Inc.,10421 N 33RD AVE,AZ,85051,PSH
236,Arizona Housing Inc.,1735 GRAND AVE,AZ,85007,"OPH, PSH"
236,Arizona Housing Inc.,209 W JACKSON STREET,AZ,85003,PSH
237,Yvette A Flunder Foundation,9702 INTERNATIONAL BLVD,CA,94603,PSH
239,Arundel House of Hope Inc.,10 SEWARD AVE,MD,21225,PSH
239,Arundel House of Hope Inc.,227 RITCHIE HWY,MD,21146,PSH
239,Arundel House of Hope Inc.,23 WALLACE AVE,MD,21225,PSH
239,Arundel House of Hope Inc.,4105 RITCHIE HWY,MD,21225,TH
239,Arundel House of Hope Inc.,514 CRAIN HWY N STE K,MD,21061,"ES, TH"
239,Arundel House of Hope Inc.,514 N. CRAIN HIGHWAYSUITE K,MD,21061,PSH
239,Arundel House of Hope Inc.,514 N. CRAIN HWY NSUITE K,MD,21061,RRH
239,Arundel House of Hope Inc.,6401 RITCHIE HWY,MD,21061,OPH
240,1260 Housing Development Corporation,1912 N 4TH ST,PA,19122,PSH
240,1260 Housing Development Corporation,2025 CHESTNUT ST.,PA,19130,PSH
240,1260 Housing Development Corporation,4113 WARREN STREET,PA,19104,PSH
240,1260 Housing Development Corporation,4230 W THOMPSON STREET,PA,19104,PSH
240,1260 Housing Development Corporation,503 REED STREET,PA,19147,PSH
240,1260 Housing Development Corporation,FRANKFORD AVE,PA,19122,PSH
241,163rd Street Council,1345 FRANKLIN AVENUE,NY,10456,PSH
241,163rd Street Council,995 OGDEN AVE,NY,10452,PSH
244,1st. United Methodist Church,508 E. MAIN ST.,IL,61820,ES
252,ACCAP,322 S SECOND ST.,MN,55443,OPH
253,Access Community Action Agency,51 REYNOLDS ST,CT,6239,"ES, PSH"
254,ACCESS,1090 WOODROW LN,OR,97504,"PSH, RRH"
254,ACCESS,3630 AVIATION WAY,OR,97504,RRH
256,ACE Opportunities - Female,6011 HIGH ST,FL,34653,"RRH, TH"
261,Urban Affairs Coalition,2120 W TIOGA STREET,PA,19140,ES
261,Urban Affairs Coalition,901 N CARLISLE STREET,PA,19130,ES
262,Addictions Care Center of Albany,111 MCCARTY AVE,NY,12202,TH
267,Advent House Ministries,743 N MARTIN LUTHER KING JR BLVD,MI,48915,"PSH, RRH"
272,Aeon,1600 1ST AVE S,MN,55403,"PSH, TH"
272,Aeon,1822 PARK AVE,MN,55404,PSH
272,Aeon,1822 PARK AVENUE,MN,55404,OPH
272,Aeon,301 PENN AVE N,MN,55405,PSH
272,Aeon,66 S 12TH ST,MN,55403,OPH
272,Aeon,706 1ST AVE N,MN,55403,PSH
272,Aeon,715-719 EAST 16TH STREET,MN,55404,PSH
272,Aeon,719 E 16TH ST,MN,55404,OPH
272,Aeon,901 N 3RD ST.,MN,55401,OPH
272,Aeon,906 S 7TH ST,MN,55415,"OPH, PSH"
274,Satellite Affordable Housing Associates (SAHA),1424 JEFFERSON ST,CA,94612,PSH
274,Satellite Affordable Housing Associates (SAHA),1507 2ND AVE,CA,94606,PSH
274,Satellite Affordable Housing Associates (SAHA),1835 ALCATRAZ AVE,CA,94703,PSH
274,Satellite Affordable Housing Associates (SAHA),2350 WOOLSEY ST,CA,94705,PSH
274,Satellite Affordable Housing Associates (SAHA),280 28TH ST,CA,94611,PSH
274,Satellite Affordable Housing Associates (SAHA),3240 SACRAMENTO ST,CA,94702,PSH
274,Satellite Affordable Housing Associates (SAHA),401 FAIRMOUNT APARTMENTS,CA,94611,PSH
274,Satellite Affordable Housing Associates (SAHA),609 OAK ST,CA,94607,PSH
278,Agape Child & Family Services Inc.,3160 DIRECTORS ROW,TN,38131,RRH
280,Agape Unlimited,1323/1329 CRAWFORD,WA,98366,PSH
280,Agape Unlimited,"4841 AUTO CENTER WAY, SUITE 101",WA,98312,PSH
282,Aid For Friends,210 E CENTER ST STE A,ID,83201,RRH
282,Aid For Friends,210 E CENTER SUITE A,ID,83201,PSH
282,Aid For Friends,653 S 4TH AVE,ID,83201,ES
284,AIDS Foundation Houston,2222 AUSTIN ST,TX,77002,PSH
284,AIDS Foundation Houston,312 W ALABAMA ST,TX,77006,PSH
284,AIDS Foundation Houston,317 E BURRESS ST,TX,77022,PSH
284,AIDS Foundation Houston,8751 BROADWAY ST,TX,77061,PSH
286,AIDS Resource Center of Wisconsin,820 N PLANKINTON AVE,WI,53203,TH
287,Aids Resource Foundation,176 ROSEVILLE AVE,NJ,7107,PSH
287,Aids Resource Foundation,256 N 7TH ST,NJ,7107,TH
287,Aids Resource Foundation,77 ACADEMY ST,NJ,7102,PSH
287,Aids Resource Foundation,77 ACADEMY STREET,NJ,7102,"PSH, RRH"
287,Aids Resource Foundation,VARIOUS,NJ,7104,PSH
288,Radiant Health Services,17982 SKY PARK CIR,CA,92614,ES
291,Ain Dah Yung,1089 PORTLAND AVE,MN,55104,ES
291,Ain Dah Yung,1212 RAYMOND AVE,MN,55108,TH
291,Ain Dah Yung,769 UNIVERSITY AVE WEST,MN,55104,PSH
302,Alexandria Community Services Board,115 N. PATRICK ST.,VA,22314,SH
302,Alexandria Community Services Board,422 N. ARMISTEAD ST.,VA,22034,PSH
302,Alexandria Community Services Board,51 SKYHILL DR.,VA,22305,PSH
302,Alexandria Community Services Board,51 SKYHILL RD.,VA,22305,PSH
302,Alexandria Community Services Board,633 N. COLUMBUS ST.,VA,22314,PSH
303,Alexian Brothers,5623 S HALSTED STREET,IL,60621,PSH
303,Alexian Brothers,825 W WELLINGTON AVE,IL,60657,TH
304,Alexian Brothers,826 NORTH AVE,IL,60085,"PSH, TH"
306,ALIVE! Inc.,125 S PAYNE ST,VA,22314,TH
308,Allegany Co. Dept. Soc. Srvcs.,7 NORTH COURT STREET,NY,14813,ES
311,Allentown Rescue Mission,355 HAMILTON ST,PA,18101,"ES, TH"
316,Allied Churches (Alamance),206 N FISHER ST,NC,27217,"ES, RRH"
319,Alpha and Omega Freedom Ministry,113 N 7TH AVENUE,FL,33873,"ES, TH"
321,Alpha Omega Veterans Services,1183 MADISON AVE,TN,38104,"PSH, TH"
321,Alpha Omega Veterans Services,1183 MADISON AVENUE,TN,38104,TH
321,Alpha Omega Veterans Services,1467 WAR MEMORIAL DR,TN,38104,PSH
321,Alpha Omega Veterans Services,2226 BALL RD,TN,38114,PSH
321,Alpha Omega Veterans Services,2230-2243 BALL ROAD,TN,38114,PSH
325,Alternative Structures International,85-248 FARRINGTON HWY,HI,96792,OPH
325,Alternative Structures International,86-704 LUALUALEI HOMESTEAD RD,HI,96792,TH
325,Alternative Structures International,87-576 KULAAUPUNI ST,HI,96792,"PSH, RRH"
326,Alternatives,224 CHARLOTTE AVE,NJ,8880,"PSH, TH"
326,Alternatives,39 1ST AVE,NJ,8869,PSH
326,Alternatives,41 THOMPSON ST,NJ,8869,PSH
326,Alternatives,429 W MAPLE AVE,NJ,8805,PSH
326,Alternatives,560 MADISON AVE,NJ,8873,TH
326,Alternatives,600 1ST AVE,NJ,8869,RRH
330,American Family Housing,14242-14262-14282 LOCUST STREET,CA,92683,PSH
330,American Family Housing,15272 VAN BUREN STREET,CA,92655,ES
330,American Family Housing,16161 PARKSIDE LANE,CA,92647,PSH
332,American Red Cross,256 NORTH SHERMAN ST.,PA,18702,ES
337,American Rescue Workers,643 ELMIRA ST,PA,17701,"ES, TH"
339,Amherst H. Wilder Foundation,1340 THOMAS AVE,MN,55104,"OPH, RRH"
339,Amherst H. Wilder Foundation,1497 JACKSON ST,MN,55117,PSH
339,Amherst H. Wilder Foundation,451 LEXINGTON PARKWAY NORTH,MN,55104,PSH
339,Amherst H. Wilder Foundation,46 4TH ST E,MN,55101,PSH
339,Amherst H. Wilder Foundation,470 WESTERN AVE N,MN,55103,PSH
339,Amherst H. Wilder Foundation,600 CENTRAL AVENUE,MN,55103,PSH
339,Amherst H. Wilder Foundation,665 SELBY AVE,MN,55104,PSH
339,Amherst H. Wilder Foundation,754 CONCORDIA AVE,MN,55104,PSH
341,Anaheim Supportive Housing,891 S. STATE COLLEGE BLVD.,CA,92806,PSH
344,Anchorage Childrens Home,2121 LISENBY AVE,FL,32405,"ES, TH"
348,Anka Behavioral Health Services,251 GEORGIA ST,CA,94590,PSH
358,A Caring Safe Place,1804 CARR ST,TX,77026,TH
358,A Caring Safe Place,2417 GLASGOW ST,TX,77026,PSH
359,A Community of Friends,1063 S. EASTMAN AVE.,CA,90023,PSH
359,A Community of Friends,1140 N. GOWER ST.,CA,90038,PSH
359,A Community of Friends,1140 S. PACIFIC AVE.,CA,90731,PSH
359,A Community of Friends,12230 W. OSBORNE AVE.,CA,91331,PSH
359,A Community of Friends,12612 S. WILMINGTON AVE.,CA,90222,PSH
359,A Community of Friends,130 S. LA FAYETTE PARK PL.,CA,90057,PSH
359,A Community of Friends,1316 E. 21ST ST.,CA,90011,PSH
359,A Community of Friends,13218 AVALON BLVD.,CA,90061,PSH
359,A Community of Friends,13218 S. AVALON BLVD.,CA,90061,PSH
359,A Community of Friends,1340 MARYLAND ST,CA,90017,PSH
359,A Community of Friends,14731 RAYEN ST.,CA,91402,PSH
359,A Community of Friends,15320 RAYEN ST.,CA,91343,PSH
359,A Community of Friends,1553 S. ARLINGTON AVE.,CA,90019,PSH
359,A Community of Friends,15532 NORDHOFF ST.,CA,91343,PSH
359,A Community of Friends,1740 N. HUDSON AVE.,CA,90028,PSH
359,A Community of Friends,2037 LINCOLN PARK AVE.,CA,90031,PSH
359,A Community of Friends,2201 E. 1ST ST.,CA,90033,PSH
359,A Community of Friends,3330 BEVERLY BLVD.,CA,90004,PSH
359,A Community of Friends,3701 WILSHIRE BLVD.SUITE 700,CA,90010,PSH
359,A Community of Friends,3837 S. WESTERN AVE.,CA,90062,PSH
359,A Community of Friends,3885 S. WESTERN AVE.,CA,90062,PSH
359,A Community of Friends,444 N. HOOVER ST.,CA,90004,PSH
359,A Community of Friends,6570 SOUTHWEST BLVD.,CA,90043,PSH
359,A Community of Friends,735 HARTFORD AVE.,CA,90017,PSH
359,A Community of Friends,836 FEDORA ST.,CA,90005,PSH
359,A Community of Friends,849 S. NORMANDIE AVE.,CA,90005,PSH
359,A Community of Friends,9130 S. FIGUEROA ST.,CA,90003,PSH
359,A Community of Friends,975 N. VENDOME ST.,CA,90026,PSH
360,A New Leaf,1111 8TH ST,AZ,85323,PSH
360,A New Leaf,2245 W MAIN ST,AZ,85201,"ES, OPH, PSH, RRH"
360,A New Leaf,2345 N COUNTRY CLUB DR,AZ,85201,ES
360,A New Leaf,5850 W GLENDALE AVE,AZ,85301,RRH
369,Abundant Faith Ministries,2300 TRUMAN ROAD,IL,62704,TH
374,Acadiana Outreach Center,625 N UNIVERSITY AVE,LA,70506,"RRH, TH"
374,Acadiana Outreach Center,625 N. UNIVERSITY,LA,70506,RRH
374,Acadiana Outreach Center,625 N. UNIVERSITY AVENUE,LA,70501,RRH
374,Acadiana Outreach Center,625 NORTH UNIVERSITY,LA,70506,RRH
381,Acres of Diamonds,26326 NE KENNEDY DR NE,WA,98019,TH
382,ACTION Housing,523 SINCLAIR ST,PA,15132,"ES, TH"
382,ACTION Housing,611 WILLIAM PENN PL,PA,15219,"PSH, RRH"
382,ACTION Housing,723 BRADDOCK AVE,PA,15104,PSH
383,Action Inc.,180 MAIN ST,MA,1930,"PSH, RRH"
383,Action Inc.,26 MARSH ST # 28,MA,1930,PSH
383,Action Inc.,370 MAIN ST,MA,1930,"ES, PSH"
384,Ada Homeless Services (formerly AACES),704 N. OAK AVE #8,OK,74820,"ES, RRH"
387,Adopt-A-Family of the Palm Beaches Inc.,1318 HENRIETTA AVE,FL,33401,"ES, RRH"
387,Adopt-A-Family of the Palm Beaches Inc.,1712 2ND AVE N,FL,33460,"ES, PSH, RRH"
387,Adopt-A-Family of the Palm Beaches Inc.,1736 2ND AVE N,FL,33460,OPH
397,AEOA,421 SE 13TH ST,MN,55744,ES
399,After The Rain,2925 MONTCLAIRE AVE,FL,33901,TH
403,"Agency for Community Treatment Services, Inc.",11710 N 17TH ST,FL,33612,PSH
403,"Agency for Community Treatment Services, Inc.",2402 MLK BLVD,FL,33607,PSH
403,"Agency for Community Treatment Services, Inc.",4403 W DR MARTIN LUTHER KING JR BLVD,FL,33614,"ES, TH"
403,"Agency for Community Treatment Services, Inc.",4612 N 56TH ST,FL,33610,PSH
403,"Agency for Community Treatment Services, Inc.",6806 N NEBRASKA AVE,FL,33604,ES
406,AIDS Alabama,2112 AVENUE H,AL,35212,ES
406,AIDS Alabama,2217 6TH AVE S,AL,35233,RRH
406,AIDS Alabama,2217 6TH AVENUE SOUTH,AL,35233,RRH
406,AIDS Alabama,3521 7TH AVE S,AL,35222,PSH
408,AIDS Help,1213 WILLIAM ST,FL,33040,PSH
408,AIDS Help,1215 CATHERINE ST,FL,33040,PSH
408,AIDS Help,1341 MCCARTHY LN,FL,33040,PSH
408,AIDS Help,1711 CATHERINE ST,FL,33040,PSH
409,AIDS Services of Dallas,400 S ZANG BLVD,TX,75208,PSH
410,AIRS,1800 NORTH CHARLES STREET7TH FLOOR,MD,21201,PSH
412,Akron Metropolitan Housing Authority - Community AIDS Network,100 W CEDAR ST,OH,44307,PSH
418,Albany Housing Authority,200 S PEARL ST,NY,12202,PSH
418,Albany Housing Authority,200 SOUTH PEARL STREET,NY,12202,PSH
418,Albany Housing Authority,35 DOVE ST,NY,12210,PSH
421,"Albergue El Paraiso, Corp.",AVE. FERNÃ¡NDEZ JUNCOS 1007 PDA. 15URB. FLORAL PARK,PR,910,PSH
421,"Albergue El Paraiso, Corp.","AVE. FERNÃ¡NDEZ JUNCOS, ESQ. ERNESTO SERRAPDA. 15",PR,907,PSH
423,Albuquerque Health Care for the Homeless,1217 1ST ST NW,NM,87102,"ES, PSH"
429,Alpha House Florida,701 5TH AVE N,FL,33701,TH
436,Alternatives for Girls,903 W GRAND BLVD,MI,48208,"ES, TH"
438,Amador-Tuolumne Community Action Agency,125 BROADWAY,CA,95642,"ES, RRH"
438,Amador-Tuolumne Community Action Agency,359 S WASHINGTON ST,CA,95370,ES
438,Amador-Tuolumne Community Action Agency,427 HIGHWAY 49,CA,95370,PSH
438,Amador-Tuolumne Community Action Agency,427 N HWY. 49,CA,95370,TH
438,Amador-Tuolumne Community Action Agency,427 N. HWY. 49SUITE 305,CA,95370,PSH
438,Amador-Tuolumne Community Action Agency,935 S STATE HIGHWAY 49,CA,95642,PSH
439,Washington Area Interfaith Shelter (Beaufort),114 W MARTIN LUTHER KING JR DR,NC,27889,ES
441,American Indian Community Housing Organization,202 W 2ND ST,MN,55802,"OPH, PSH"
450,Amethyst,455 E MOUND ST,OH,43215,PSH
454,NeighborWorks Alaska (NWAK),201 E 9TH AVE,AK,99501,OPH
455,American Indian Community Development Corporation,1508 E FRANKLIN AVE,MN,55404,PSH
455,American Indian Community Development Corporation,1600 E 19TH ST,MN,55404,PSH
455,American Indian Community Development Corporation,1911 11TH AVE S,MN,55404,PSH
455,American Indian Community Development Corporation,2423 CHICAGO AVE,MN,55404,SH
456,Anka Behavioral Health,1401 W 14TH ST,CA,94518,ES
456,Anka Behavioral Health,512 E ST,CA,94509,TH
461,Annunciation House,1003 E SAN ANTONIO AVE,TX,79901,ES
461,Annunciation House,325 LEON ST,TX,79901,TH
469,Association to Benefit Children,318 EAST 116TH STREET,NY,10029,PSH
470,Athens Area Homeless Shelter,205 BRAY ST,GA,30601,ES
470,Athens Area Homeless Shelter,620 BARBER ST,GA,30601,"ES, RRH"
475,Aurora Mental Health Center,11059 BETHANY DR,CO,80014,ES
475,Aurora Mental Health Center,11059 BETHANY DRIVE,CO,80014,RRH
475,Aurora Mental Health Center,11059 E BETHANY DR,CO,80014,RRH
475,Aurora Mental Health Center,51 LIMA STREET,CO,80014,TH
478,"Case Management, Inc.",1057 ALICE AVE,TN,38106,PSH
478,"Case Management, Inc.",3171 DIRECTORS ROW,TN,38131,"PSH, TH"
485,Baltimore Rescue Mission,1228 E BALTIMORE ST,MD,21202,ES
485,Baltimore Rescue Mission,4 N CENTRAL AVE,MD,21202,ES
486,Bannock Youth Foundation,620 W FREMONT ST,ID,83204,ES
486,Bannock Youth Foundation,735 N MAIN ST,ID,83204,RRH
490,Barrier Free Living  Inc.,616 EAST 139TH STREET,NY,10454,PSH
490,Barrier Free Living  Inc.,637 EAST 138TH STREET,NY,10454,PSH
497,BC Dept.of Human Services,100 SOMERSET ST,NJ,7026,TH
499,BCMW Community Services,909 E REXFORD ST,IL,62801,"ES, RRH, TH"
502,Beatitude House,145 N GLENELLEN AVE,OH,44509,PSH
502,Beatitude House,238 TOD LN,OH,44504,PSH
509,Berkshire County Regional Housing  Authority,1 FENN ST,MA,1201,OPH
510,Bert Nash Community Mental Health Center,200 MAINE ST,KS,66044,TH
514,Bethany Services,1600 E TRUXTUN AVE,CA,93305,"ES, RRH"
514,Bethany Services,1600 EAST TRUXTON,CA,93305,RRH
515,Bethany Village,414 E DAVIE ST,IL,62906,"PSH, TH"
517,Bethel Family Resource Center,1250 PORTLAND AVE,IL,60411,ES
519,"Bethesda Center for the Homeless, Inc.  Forsyth",225 EAST,NC,27101,RRH
519,"Bethesda Center for the Homeless, Inc.  Forsyth",930 N PATTERSON AVE,NC,27101,"ES, PSH"
520,Bethlehem Inn,3705 N HIGHWAY 97,OR,97701,ES
526,Bi-CAP,PO BOX 995,MN,56484,"OPH, PSH, RRH, TH"
